"","state","year","e85","total","ratio_e85"
"286","Missouri","2014",101,381,26.509186351706
"287","Montana","2014",2,70,2.85714285714286
"288","Nebraska","2014",80,160,50
"289","Nevada","2014",21,330,6.36363636363636
"290","New Hampshire","2014",1,88,1.13636363636364
"291","New Jersey","2014",5,306,1.63398692810458
"292","New Mexico","2014",14,140,10
"293","New York","2014",83,1336,6.2125748502994
"294","North Carolina","2014",23,967,2.37849017580145
"295","North Dakota","2014",77,104,74.0384615384615
"296","Ohio","2014",128,501,25.5489021956088
"297","Oklahoma","2014",25,321,7.78816199376947
"298","Oregon","2014",7,1071,0.65359477124183
"299","Pennsylvania","2014",33,542,6.08856088560886
"300","Rhode Island","2014",0,166,0
"301","South Carolina","2014",71,416,17.0673076923077
"302","South Dakota","2014",82,134,61.1940298507463
"303","Tennessee","2014",66,1138,5.79964850615114
"304","Texas","2014",136,2541,5.35222353404172
"305","Utah","2014",3,270,1.11111111111111
"306","Vermont","2014",1,129,0.775193798449612
"307","Virginia","2014",17,719,2.3643949930459
"308","Washington","2014",21,1632,1.28676470588235
"309","West Virginia","2014",9,127,7.08661417322835
"310","Wisconsin","2014",136,561,24.2424242424242
"311","Wyoming","2014",10,69,14.4927536231884
"312","Total","2014",2840,33805,8.40112409406892
"313","Alabama","2015",31,375,8.26666666666667
"314","Alaska","2015",0,11,0
"315","Arizona","2015",30,1059,2.8328611898017
"316","Arkansas","2015",47,182,25.8241758241758
